2014-05-27 21:27:20,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:25,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:25,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:30,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:30,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:35,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:35,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:40,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:40,808 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:45,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:45,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:50,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:50,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:27:55,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:27:55,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:00,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:28:00,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:05,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:28:05,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:10,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:28:10,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:15,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:28:15,810 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:20,806 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
2014-05-27 21:28:20,809 WARNING  asupply.DataSupply: couldn't connect: HTTPConnectionPool(host='localhost', port=12137): Max retries exceeded with url: /register_listener (Caused by <class 'socket.error'>: [Errno 61] Connection refused)
2014-05-27 21:28:25,805 INFO     asupply.DataSupply: attempting to connect to collector node at localhost:12137
